year,pilot,grid,finish,circuit,is_podium,pilot_id,circuit_id
2022,LEC,1.0,1.0,Bahrain Grand Prix,1,14,2
2022,SAI,3.0,2.0,Bahrain Grand Prix,1,23,2
2022,HAM,5.0,3.0,Bahrain Grand Prix,1,10,2
2022,RUS,9.0,4.0,Bahrain Grand Prix,0,22,2
2022,MAG,7.0,5.0,Bahrain Grand Prix,0,15,2
2022,BOT,6.0,6.0,Bahrain Grand Prix,0,5,2
2022,OCO,11.0,7.0,Bahrain Grand Prix,0,18,2
2022,TSU,16.0,8.0,Bahrain Grand Prix,0,26,2
2022,ALO,8.0,9.0,Bahrain Grand Prix,0,1,2
2022,ZHO,15.0,10.0,Bahrain Grand Prix,0,29,2
2022,MSC,12.0,11.0,Bahrain Grand Prix,0,16,2
2022,STR,19.0,12.0,Bahrain Grand Prix,0,25,2
2022,ALB,14.0,13.0,Bahrain Grand Prix,0,0,2
2022,RIC,18.0,14.0,Bahrain Grand Prix,0,21,2
2022,NOR,13.0,15.0,Bahrain Grand Prix,0,17,2
2022,LAT,20.0,16.0,Bahrain Grand Prix,0,12,2
2022,HUL,17.0,17.0,Bahrain Grand Prix,0,11,2
2022,PER,4.0,18.0,Bahrain Grand Prix,0,19,2
2022,VER,2.0,19.0,Bahrain Grand Prix,0,27,2
2022,GAS,10.0,20.0,Bahrain Grand Prix,0,8,2
2022,VER,4.0,1.0,Saudi Arabian Grand Prix,1,27,7
2022,LEC,2.0,2.0,Saudi Arabian Grand Prix,1,14,7
2022,SAI,3.0,3.0,Saudi Arabian Grand Prix,1,23,7
2022,PER,1.0,4.0,Saudi Arabian Grand Prix,0,19,7
2022,RUS,6.0,5.0,Saudi Arabian Grand Prix,0,22,7
2022,OCO,5.0,6.0,Saudi Arabian Grand Prix,0,18,7
2022,NOR,11.0,7.0,Saudi Arabian Grand Prix,0,17,7
2022,GAS,9.0,8.0,Saudi Arabian Grand Prix,0,8,7
2022,MAG,10.0,9.0,Saudi Arabian Grand Prix,0,15,7
2022,HAM,15.0,10.0,Saudi Arabian Grand Prix,0,10,7
2022,ZHO,12.0,11.0,Saudi Arabian Grand Prix,0,29,7
2022,HUL,17.0,12.0,Saudi Arabian Grand Prix,0,11,7
2022,STR,13.0,13.0,Saudi Arabian Grand Prix,0,25,7
2022,ALB,16.0,14.0,Saudi Arabian Grand Prix,0,0,7
2022,BOT,8.0,15.0,Saudi Arabian Grand Prix,0,5,7
2022,ALO,7.0,16.0,Saudi Arabian Grand Prix,0,1,7
2022,RIC,14.0,17.0,Saudi Arabian Grand Prix,0,21,7
2022,LAT,18.0,18.0,Saudi Arabian Grand Prix,0,12,7
2022,TSU,19.0,19.0,Saudi Arabian Grand Prix,0,26,7
2022,LEC,1.0,1.0,Australian Grand Prix,1,14,0
2022,PER,3.0,2.0,Australian Grand Prix,1,19,0
2022,RUS,6.0,3.0,Australian Grand Prix,1,22,0
2022,HAM,5.0,4.0,Australian Grand Prix,0,10,0
2022,NOR,4.0,5.0,Australian Grand Prix,0,17,0
2022,RIC,7.0,6.0,Australian Grand Prix,0,21,0
2022,OCO,8.0,7.0,Australian Grand Prix,0,18,0
2022,BOT,12.0,8.0,Australian Grand Prix,0,5,0
2022,GAS,11.0,9.0,Australian Grand Prix,0,8,0
2022,ALB,20.0,10.0,Australian Grand Prix,0,0,0
2022,ZHO,14.0,11.0,Australian Grand Prix,0,29,0
